gvkey,conm,weburl,found,visible,paragraphs,words,fog,overall,tptrackingcookies
19881,2U INC,2u.com,1,1,20,1536,18.137836,.31267899,5
129466,AGENUS INC,agenusbio.com,1,1,33,1612,16.686981,.63284278,0
30067,AGREE REALTY CORP,agreerealty.com,1,1,4,556,19.978645,-.42284921,2
33280,ALEAFIA HEALTH INC,aleafiainc.com,0,1,,,,,1
66431,ALTIUS MINERALS CORP,altiusminerals.com,1,0,93,3567,21.238497,-.38676116,0
1613,AMPCO-PITTSBURGH CORP,ampcopgh.com,1,0,57,3674,25.161032,-.28979442,0
1659,ANDERSONS INC,andersonsinc.com,1,1,23,1868,16.509705,-.56723535,0
1686,APOGEE ENTERPRISES INC,apog.com,1,1,4,264,16.763828,-.70078802,0
32809,APOLLO MEDICAL HOLDING INC,apollomed.net,1,0,11,757,16.22604,-.24343826,0
22449,AURORA CANNABIS INC,auroramj.com,1,1,35,1680,17.598442,-.32407111,0
21352,AVANOS MEDICAL INC,avanos.com,1,1,48,2746,19.412502,1.0628861,2
27297,AXION VENTURES INC,axionventures.com,1,1,31,1717,19.146418,.5840804,0
179461,AYTU BIOSCIENCE INC,aytubio.com,0,0,,,,,0
221545,INDUSTRIAS BACHOCO SAB DE CV,bachoco.com.mx,1,0,27,1263,23.428194,.72928625,2
161942,BANKFINANCIAL CORP,bankfinancial.com,1,0,19,499,16.11685,-.36369538,0
66235,HOPE BANCORP INC,bankofhope.com,1,1,18,1161,15.246762,-.070225134,4
26721,BROOKFIELD BUSINESS PRTNR LP,bbu.brookfield.com,1,1,60,2649,20.8944,.93579227,0
25581,BIG ROCK BREWERY INC,bigrockbeer.com,1,0,21,668,17.898987,.40905145,8
16719,BIOSTAGE INC,biostage.com,1,1,12,842,19.519945,-.060793038,2
19275,BLUEROCK RESIDENTIAL GROWTH,bluerockresidential.com,1,1,21,2004,17.191593,-.78271013,0
17556,BROOKFIELD PROPERTY PRTRS LP,bpy.brookfield.com,1,1,60,2649,20.8944,.93579227,0
26527,BTL GROUP LTD,btl.co,1,1,26,1807,17.272776,1.0175842,2
65986,BLACKBERRY LTD,ca.blackberry.com,1,1,58,4561,21.704369,-.28017601,4
32938,CACTUS INC,cactuswellhead.com,1,0,9,602,14.084179,-.22052188,3
2436,CALERES INC,caleres.com,1,0,4,503,13.702676,-.18041104,
32349,CANNTRUST HLDGS INC,canntrust.ca,1,1,47,1949,19.981129,.87017834,1
66665,CAPSTONE COS INC,capstonecompaniesinc.com,0,0,,,,,0
62516,CENTURY ALUMINUM CO,centuryaluminum.com,0,0,,,,,1
140568,CHEMBIO DIAGNOSTICS INC,chembio.com,1,1,11,526,14.938812,-.23862542,3
185337,CIVITAS SOLUTIONS INC,civitas-solutions.com,1,1,15,888,19.868462,.01307124,0
164660,CLEAR CHANNEL OUTDOOR HLDGS,clearchanneloutdoor.com,1,1,26,2720,20.092058,-.079261065,26
165678,COPA HOLDINGS SA,copa.gcs-web.com/#,1,1,55,2494,16.84428,.029074324,
165209,CORENERGY INFRASTRUCTURE TR,corenergy.reit,1,1,8,476,18.573206,-.099531241,2
