weburl,Not Relevant,Paragraph Structure,Data Collection,Consent,Responsible Use,Third-Parties,User-Rights,Overall,Comment
www.ultimatesoftware.com,0,1,0,1,1,0,1,1,Clear
www.newmediainv.com,0,1,1,0,0,0,-1,-1,Rights in legalise unclear
www.scana.com,0,1,-1,-1,1,0,0,0,
www.trinseo.com,0,1,0,0,0,0,0,0,
www.toromont.com,0,1,-1,0,0,1,0,0,Third-party assurance
www.linamar.com,0,1,0,0,-1,1,-1,0,Missing rights
www.trinet.com,0,1,0,0,1,1,1,1,Clear
www.trinitybiotech.com,0,1,1,0,0,1,0,1,Limited data collection
www.bsquare.com,0,1,-1,0,0,0,1,0,
www.lifeloc.com,0,1,-1,0,0,0,-1,-1,Missing rights
www.morganstanley.com,0,1,-1,0,-1,0,0,-1,Extensive data collection
www.acorda.com,0,1,0,0,0,0,-1,0,Missing rights
www.huronconsultinggroup.com,0,1,0,0,0,1,1,1,Clear
www.vikingenergygroup.com,0,1,-1,0,0,-1,-1,-1,Missing key components
www.marcusmillichap.com,0,1,1,0,0,0,-1,0,Unclear rights
www.tesarobio.com,0,1,0,0,0,0,-1,0,Missing rights
www.coremt.com,0,1,1,0,0,1,-1,0,Missing rights
www.jinkosolar.com,0,1,-1,0,0,0,-1,-1,Missing key components
www.amg.com,1,/,/,/,/,/,/,/,
www.cambrex.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.intermap.com,0,1,0,-1,0,-1,-1,-1,Missing key components
www.forwardair.com,0,1,1,1,0,-1,-1,-1,Missing key components
www.avino.com,1,/,/,/,/,/,/,/,
www.tileshop.com,0,1,-1,0,0,-1,-1,-1,Unclear
www.verisk.com,1,/,/,/,/,/,/,/,
ir.medifastinc.com,1,/,/,/,/,/,/,/,
www.intuit.com,0,1,-1,0,0,-1,-1,-1,Extensive data collection
www.freddiemac.com,0,1,-1,0,-1,0,-1,-1,Missing rights
www.wwe.com,0,1,0,1,1,0,1,1,Clear
www.tabularasahealthcare.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
www.gilat.com,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.intouchcompany.com,0,1,1,1,0,0,1,1,
www.fcx.com,0,1,-1,0,0,1,0,0,
www.cargurus.com,0,1,0,-1,0,-1,0,-1,Onerous on user
www.welbilt.com,0,1,1,-1,-1,-1,0,-1,
www.teekay.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.hyster-yale.com,0,1,0,1,1,0,1,1,Clear
www.vuzix.com,0,1,1,0,1,1,0,1,Third-party assurance
www.plymouthreit.com,0,1,-1,0,0,-1,-1,-1,Missing key components
www.randcapital.com,0,1,-1,0,0,-1,-1,-1,Missing key components
www.nisource.com,0,1,-1,0,1,-1,-1,-1,Missing key components
www.wndm.com,0,1,0,-1,0,-1,1,-1,Unclear
www.imagesensing.com,0,1,1,0,1,1,1,1,Clear
www.applehospitalityreit.com,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.mgeenergy.com,1,/,/,/,/,/,/,/,
www.cnbbank.bank,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.thelittlebank.com,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.paloaltonetworks.com,0,1,1,0,1,0,1,1,Clear
www.acadiarealty.com,0,1,1,-1,0,0,-1,-1,Missing rights
www.ge.com,0,1,-1,0,0,0,1,0,
www.hopto.com,0,1,1,0,1,0,-1,0,Missing rights
www.themadisonsquaregardencompany.com,0,1,0,-1,-1,0,-1,-1,Missing rights
www.bancorpsouth.com,1,/,/,/,/,/,/,/,
www.sparktx.com,0,1,-1,0,1,0,1,1,Clear
canntrust.ca,0,1,0,0,1,0,1,1,Clear
www.societegenerale.com,1,/,/,/,/,/,/,/,
www.monolithicpower.com,0,1,0,-1,0,-1,-1,-1,Missing key components
www.aerogel.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.pfsweb.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.cogentco.com,0,1,1,0,-1,0,1,1,Clear
www.geron.com,0,1,0,0,0,0,0,0,
www.kaiseraluminum.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.assuredguaranty.com,0,1,0,0,-1,0,-1,-1,"Unclear, extensive uses"
www.progenics.com,0,1,0,1,0,1,1,1,Clear
www.apolloendo.com,0,1,1,0,1,0,0,1,Limited data collection
www.istar.com,0,1,0,0,1,1,1,1,Clear
